id,collegeOfMajor,Department,major
1,Business,Accounting,Accounting
2,Business,Accounting,Accounting - Finance Track
3,Business,Accounting,Account - Financial Planning Track
4,Business,Accounting,Account - Information Systems Track
5,Business,Computer Science and Information Systems,Computer Information Systems
6,Business,Computer Science and Information Systems,Computer Science
7,Business,Computer Science and Information Systems,Computer Science - Game Development Track
8,Business,Computer Science and Information Systems,Computer Science - Data Science Track
9,Business,Economics and Finance,Economics
10,Business,Economics and Finance,Finance
11,Business,Economics and Finance,Finance - Commerical Banking Track
12,Business,Economics and Finance,Finance - Financial Planning Track
13,Business,Journalism and Mass Communications,Multimedia Journalism
14,Business,Journalism and Mass Communications,Visual Communications - Graphic Communications Track
15,Business,Journalism and Mass Communications,Visual Communications - Multimedia Production Track
16,Business,Journalism and Mass Communications,Visual Communications - Photography Track
17,Business,Journalism and Mass Communications,Strategic Communications - Advertising Track
18,Business,Journalism and Mass Communications,Strategic Communications - Public Relations Track
19,Business,"Management, Marketing and Business Administration",Business Administration
20,Business,"Management, Marketing and Business Administration",Business Administration - International Business Track
21,Business,"Management, Marketing and Business Administration",Management - Entrepreneurship Track
22,Business,"Management, Marketing and Business Administration",Marketing - Entrepreneurship Track
23,Business,"Management, Marketing and Business Administration",Management - Human Resources Track
24,Business,"Management, Marketing and Business Administration",Logistics and Supply Chain
25,Business,"Management, Marketing and Business Administration",Management
26,Business,"Management, Marketing and Business Administration",Marketing
27,Business,Organizational Communication and Leadership,Organizational Communication
28,Business,Organizational Communication and Leadership,Nonprofit Leadership Studies
29,Agriculture,Agriculture,Agriculture
30,Agriculture,Agriculture,Agribusiness Economics
31,Agriculture,Agriculture,Agricultural Education
32,Agriculture,Agriculture,Agricultural Systems Technology
33,Agriculture,Agriculture,Agriscience Technology
34,Agriculture,Agriculture,Animal Science
35,Agriculture,Agriculture,Equine Science
36,Agriculture,Agriculture,Crop and Soil Science
37,Agriculture,Agriculture,Agriscience Technology - Horticulture Emphasis
38,Agriculture,Agriculture,Pre-Veterinary Medicine
39,Agriculture,Agriculture,Veterinary Technology
40,"Science, Engineering, and Technology",Biological Science,Biology
41,"Science, Engineering, and Technology",Biological Science,Fisheries/ Aquatic Biology
42,"Science, Engineering, and Technology",Biological Science,Biomedical Science
43,"Science, Engineering, and Technology",Biological Science,Pre-Dentistry
44,"Science, Engineering, and Technology",Biological Science,Pre-Optometry
45,"Science, Engineering, and Technology",Biological Science,Pre-Pharmacy
46,"Science, Engineering, and Technology",Biological Science,Pre-Phyiscal Therapy
47,"Science, Engineering, and Technology",Biological Science,Pre-Physician Assistant
48,"Science, Engineering, and Technology",Biological Science,Wildlife and Conservation Biology
49,"Science, Engineering, and Technology",Chemistry,Chemistry
50,"Science, Engineering, and Technology",Chemistry,Chemistry  - Pre-Med
51,"Science, Engineering, and Technology",Chemistry,Chemistry - Pre-Dental
52,"Science, Engineering, and Technology",Chemistry,Chemistry - Pre-Pharmacy
53,"Science, Engineering, and Technology",Chemistry,Chemistry - Biochemistry option
54,"Science, Engineering, and Technology",Chemistry,Chemistry - Chemistry Polymer and Materials Science Track
